Amount,Transaction_Type,Account_Age,Is_International,Is_High_Risk,Class
278,1,21,0,1,0
4257,4,5,1,0,1
3860,1,15,0,0,0
7349,3,12,0,1,1
4483,3,35,1,0,1
5081,4,15,1,0,1
8800,3,1,1,0,1
9303,2,28,0,1,0
4629,3,3,1,0,1
867,2,34,0,1,0
6033,1,5,0,1,1
1201,2,11,0,0,0
3304,4,9,0,0,0
666,3,2,0,0,0
2324,2,24,1,1,0
4575,1,24,0,0,0
453,2,11,0,1,0
2141,1,29,1,1,0
1021,1,18,1,0,0
9449,3,32,1,0,1
9702,4,8,1,1,1
5271,4,3,0,1,1
5531,1,32,1,0,0
1265,2,21,1,1,0
391,3,13,1,1,1
4083,3,5,1,1,1
9502,2,34,1,1,1
2507,4,10,0,0,0
7420,3,14,1,0,1
5556,3,4,0,1,1
2352,3,33,0,1,0
4326,2,16,0,1,0
1584,2,28,0,1,0
5416,1,4,1,1,1
488,4,11,0,0,0
6462,3,20,0,0,0
6223,2,13,1,1,1
9765,3,23,1,1,1
4318,1,5,0,1,1
1871,1,36,1,0,0
4406,3,21,1,1,1
4153,4,10,1,1,1
6858,4,4,0,1,1
1502,4,31,0,1,0
3637,2,28,0,1,0
9211,4,31,1,0,1
7271,1,34,1,1,1
8994,4,14,0,0,0
7334,1,18,1,0,0
8057,2,33,1,1,1
3467,3,17,0,1,0
8692,4,33,0,0,0
869,3,2,1,1,1
2835,3,10,1,1,1
3012,3,36,1,1,1
8335,2,30,1,0,0
6091,1,10,0,0,0
8937,1,18,0,1,0
5186,4,12,0,1,1
3894,4,9,1,1,1
7784,1,10,1,0,0
1333,4,27,0,1,0
8032,3,26,0,1,1
7672,3,21,1,1,1
4302,3,26,0,0,0
7200,1,16,0,1,0
3334,2,11,1,1,0
1442,4,31,1,0,0
9134,3,3,1,0,1
9598,4,11,0,0,0
5098,4,18,0,1,1
733,2,30,0,1,0
9668,2,1,1,0,1
2457,4,14,0,1,0
1496,3,20,0,1,0
9622,4,26,1,1,1
2167,1,30,1,0,0
911,3,36,0,0,0
7547,3,26,0,0,0
4986,2,29,1,0,0
9237,3,29,0,1,1
5735,1,19,0,0,0
1937,4,13,1,1,1
8695,1,30,0,0,0
3161,1,6,1,0,0
8155,1,12,1,1,1
6180,1,2,1,1,1
1996,2,36,0,1,0
8783,4,32,0,1,1
7427,1,23,0,1,0
5596,2,15,1,0,0
3654,4,20,0,1,0
6844,3,28,1,1,1
6162,3,23,0,1,1
2564,3,31,1,1,1
5978,4,28,0,0,0
2853,3,29,1,0,0
1600,3,7,1,0,1
983,4,8,0,0,0
2667,4,35,1,1,1
5403,4,1,1,1,1
9450,2,17,0,0,0
1543,1,16,0,0,0
2931,4,2,0,0,0
6685,4,31,1,0,1
949,4,22,1,1,1
2334,1,8,1,0,0
4794,4,5,0,0,1
9057,2,31,1,1,1
7284,4,35,0,1,1
7633,4,24,1,1,1
6518,1,33,1,1,1
3675,1,2,0,0,0
6831,1,19,0,1,0
1145,2,35,1,1,0
9733,3,30,1,1,1
6427,4,30,0,0,0
9076,3,10,0,1,1
6627,3,24,0,1,1
223,2,29,1,1,0
324,2,29,0,0,0
2569,2,32,1,0,0
1195,1,6,1,1,1
9515,3,32,1,0,1
4302,3,28,0,1,1
1270,2,23,1,1,0
3544,2,33,1,0,0
5365,4,3,1,1,1
5699,1,13,0,1,0
5365,3,1,0,0,1
3320,3,27,0,0,0
5466,2,28,1,0,0
2020,1,10,1,1,0
8649,2,3,1,0,1
8626,4,18,1,0,1
984,2,13,1,0,0
9088,2,8,0,1,0
1189,1,25,1,0,0
5791,4,22,0,0,0
6064,1,18,1,1,1
4480,4,13,1,1,1
9282,2,16,0,1,0
2483,2,8,0,1,0
7297,2,22,1,0,0
8330,2,6,0,1,1
1567,2,23,1,1,0
7158,3,24,1,0,1
7583,2,19,0,0,0
1639,1,5,1,1,1
7130,2,15,1,1,1
9759,4,31,1,1,1
9462,3,7,0,0,1
6797,1,12,0,1,0
4728,2,16,0,0,0
1658,4,36,1,0,0
4790,4,28,0,1,1
2532,2,7,1,1,1
1911,2,33,0,0,0
8470,4,4,0,1,1
8442,2,10,1,1,1
7746,1,31,0,0,0
9016,2,35,1,0,0
8735,4,19,1,1,1
8322,2,10,0,1,0
7637,1,7,0,1,1
3888,2,4,1,1,1
1648,4,1,1,1,1
8380,1,32,1,0,0
3321,2,31,1,0,0
1204,3,7,1,1,1
3002,1,7,0,0,0
5663,4,1,0,1,1
7035,2,18,1,1,1
4817,1,29,0,0,0
7954,1,10,0,0,0
7439,4,6,1,1,1
9062,1,34,0,1,0
6820,4,17,0,1,1
7906,1,9,1,1,1
6976,3,8,0,1,1
3172,1,6,1,1,1
378,1,21,1,0,0
9215,1,36,1,0,0
4714,1,21,1,0,0
3619,3,7,1,0,1
5607,3,24,0,0,0
3313,3,7,1,0,1
3207,1,31,1,0,0
5498,3,23,0,0,0
7416,3,22,1,1,1
1501,2,6,0,1,0
5530,4,16,0,0,0
5472,3,26,0,1,1
4781,2,12,1,0,0
4535,4,26,1,0,1
6781,4,33,0,1,1
454,1,15,1,1,0
6418,3,33,1,1,1
1455,2,11,0,0,0
8170,2,17,1,0,0
7514,2,7,0,0,0
1571,1,10,0,1,0
7206,1,7,1,1,1
2544,2,9,1,1,0
6982,3,18,0,1,1
2421,1,16,0,1,0
4350,2,24,0,0,0
7046,4,10,0,0,0
5213,3,4,1,1,1
7326,3,7,1,0,1
3979,1,24,1,0,0
8931,1,25,0,0,0
3848,2,12,1,1,0
3800,3,36,0,1,0
4422,1,15,1,1,1
1674,3,7,1,0,1
5579,4,35,1,1,1
8503,2,13,0,0,0
7487,3,27,0,0,0
2785,2,11,1,1,0
7807,3,33,1,1,1
2042,2,3,0,1,0
3734,4,17,0,1,0
5724,2,32,1,0,0
3472,1,36,1,0,0
9198,1,23,0,0,0
8551,2,14,0,0,0
4953,1,25,1,0,0
6145,2,20,1,0,0
1202,1,15,0,1,0
1454,4,9,1,1,1
5128,2,25,1,0,0
4156,1,17,0,1,0
7947,3,15,0,0,0
757,4,17,0,1,0
1705,3,17,0,0,0
6273,4,18,1,0,1
3993,4,5,0,1,1
9362,1,5,0,0,0
4569,2,7,1,0,1
6750,4,33,1,0,1
1951,4,4,0,0,0
6016,2,21,0,0,0
1990,3,20,0,0,0
4496,1,17,1,1,1
6587,2,2,1,0,1
2529,3,2,1,0,1
3987,4,29,1,0,0
9677,2,7,0,1,1
1512,3,32,1,1,1
1431,2,36,0,1,0
7553,4,11,0,1,1
6525,3,30,0,1,1
7343,4,9,1,1,1
7259,2,35,1,1,1
6455,3,11,0,0,0
4797,1,15,1,0,0
3070,2,15,1,0,0
9558,2,4,1,0,1
6660,1,15,0,1,0
2808,1,7,1,0,0
5760,4,17,0,0,0
6497,1,18,0,1,0
4091,1,23,0,0,0
6621,4,30,0,1,1
2108,2,23,0,1,0
6603,1,17,0,0,0
2909,3,8,1,0,0
6530,1,30,1,1,1
630,3,16,0,0,0
5661,4,7,1,0,1
7201,1,34,0,0,0
1590,3,33,0,0,0
2553,1,18,1,0,0
825,4,18,1,1,1
9385,1,21,0,1,0
6931,3,29,0,0,0
3045,2,25,1,1,0
8289,1,23,0,0,0
4090,4,29,1,1,1
1941,2,18,1,1,0
340,1,14,0,0,0
6515,3,30,0,1,1
5032,1,31,1,1,1
7786,4,20,1,0,1
7097,4,33,0,0,0
856,1,8,0,1,0
8618,4,12,1,0,1
4088,3,34,1,0,1
5129,2,6,0,1,1
8286,4,10,1,1,1
6383,3,29,1,1,1
9532,2,26,1,1,1
7990,4,28,0,0,0
7369,2,18,0,0,0
6774,1,28,0,1,0
1697,4,21,0,0,0
9729,1,13,1,0,0
6811,3,1,1,1,1
3673,1,29,1,1,0
1765,4,23,0,1,0
6319,2,14,0,0,0
576,2,9,1,1,0
130,4,4,0,0,0
5228,1,19,1,1,1
7189,4,16,1,1,1
5314,1,31,1,0,0
5488,1,15,0,1,0
5097,1,8,1,0,0
4816,2,25,1,1,1
8789,1,4,0,0,0
5467,1,22,1,0,0
7919,3,13,1,1,1
2133,2,15,0,0,0
7230,1,21,1,0,0
6870,3,6,1,1,1
6797,1,1,0,0,0
296,3,10,0,1,0
3150,1,30,0,1,0
6464,1,14,0,1,0
1843,1,11,1,1,0
8431,2,21,0,0,0
4600,2,20,1,1,1
8109,4,2,0,1,1
816,4,14,1,0,0
8664,2,7,1,0,1
388,4,36,1,0,0
3411,2,25,0,0,0
5261,2,10,1,1,1
7002,4,3,0,1,1
7477,4,24,0,1,1
1447,3,11,1,1,1
4288,3,32,0,1,1
7738,3,28,0,0,0
2769,1,29,1,1,0
3618,3,9,1,0,0
8800,4,36,1,0,1
3070,3,23,0,0,0
3531,2,9,1,1,0
5209,2,29,1,1,1
6462,1,33,1,0,0
5482,3,6,1,0,1
1980,4,22,1,1,1
2440,4,32,1,1,1
5555,3,2,1,0,1
3652,2,20,0,1,0
5348,1,35,1,0,0
8051,1,32,1,1,1
5584,3,7,0,1,1
5571,1,13,0,0,0
9580,1,20,1,1,1
2777,2,27,1,1,0
436,2,30,0,0,0
6820,3,26,0,1,1
5036,1,6,1,1,1
6723,2,31,1,0,0
9094,4,15,1,0,1
862,1,26,1,1,0
8046,4,33,1,0,1
1017,4,21,0,0,0
2916,3,36,0,1,0
2899,2,15,1,1,0
1548,1,28,1,0,0
1713,3,26,1,0,0
9343,4,1,0,1,1
2245,1,5,1,1,1
7035,3,28,1,0,1
3898,1,6,0,1,0
4914,3,21,1,1,1
7851,4,13,1,1,1
8237,1,4,0,0,0
5032,1,10,1,1,1
3355,1,24,1,0,0
5700,4,26,1,0,1
2377,3,9,1,0,0
4239,1,28,1,0,0
409,3,26,1,0,0
8605,4,12,1,0,1
5521,4,23,0,1,1
8906,4,35,1,1,1
8212,1,12,0,0,0
4095,3,26,1,0,1
6344,4,3,1,1,1
6123,3,28,0,0,0
9206,2,36,0,0,0
2221,4,20,1,1,1
8675,4,27,0,0,0
1170,2,11,0,0,0
3337,3,33,1,1,1
6510,4,21,1,0,1
4831,4,31,1,0,1
7703,3,19,1,0,1
9581,2,13,1,1,1
4416,3,14,1,1,1
5953,1,29,0,0,0
4623,2,17,1,0,0
2526,3,30,1,0,0
7708,4,23,0,0,0
7831,2,5,1,1,1
7279,2,30,1,1,1
3177,1,33,1,1,0
3583,3,5,0,1,1
8712,2,2,1,1,1
5421,3,19,1,0,1
1304,2,21,1,1,0
8954,4,26,0,0,0
8551,1,3,1,1,1
5438,2,12,1,1,1
782,4,20,1,0,0
5324,3,23,1,0,1
9261,4,19,1,0,1
629,1,18,0,0,0
771,2,20,0,1,0
2912,4,15,1,1,1
3809,3,24,0,0,0
1855,1,34,1,1,0
1952,1,8,1,1,0
3222,1,9,1,1,0
4380,1,4,1,0,1
2236,2,35,1,1,0
4887,1,18,0,0,0
6462,4,21,0,1,1
6600,1,25,1,1,1
6715,4,11,1,1,1
2260,3,32,1,1,1
753,4,17,0,0,0
3701,3,3,0,1,1
3271,3,6,1,1,1
3438,3,28,0,0,0
717,2,16,0,1,0
